,DetectedCamera_Front,DetectedCamera_Left,DetectedCamera_Rear,DetectedCamera_Right,AngleOfSign,SignAspectRatio,SignWidth,SignHeight
0,0.0,0.0,1.0,0.0,195,1.02,46,45
1,0.0,0.0,1.0,0.0,203,1.09,59,54
2,1.0,0.0,0.0,0.0,26,0.96,104,108
3,0.0,0.0,1.0,0.0,199,0.81,38,47
4,0.0,0.0,1.0,0.0,208,0.93,54,58
5,1.0,0.0,0.0,0.0,29,0.83,65,78
6,0.0,1.0,0.0,0.0,245,0.93,109,117
7,0.0,0.0,1.0,0.0,204,1.04,56,54
8,1.0,0.0,0.0,0.0,25,0.95,104,109
9,0.0,0.0,0.0,1.0,74,0.51,53,103
10,1.0,0.0,0.0,0.0,12,0.93,41,44
11,0.0,0.0,1.0,0.0,196,0.98,46,47
12,0.0,0.0,1.0,0.0,205,1.02,87,85
13,0.0,0.0,1.0,0.0,210,1.01,83,82
14,0.0,1.0,0.0,0.0,258,0.48,39,81
15,1.0,0.0,0.0,0.0,21,1.0,75,75
16,0.0,0.0,1.0,0.0,203,1.0,46,46
17,1.0,0.0,0.0,0.0,26,0.88,67,76
18,0.0,0.0,1.0,0.0,223,1.17,101,86
19,1.0,0.0,0.0,0.0,35,1.07,131,122
20,1.0,0.0,0.0,0.0,20,0.95,54,57
21,0.0,0.0,0.0,1.0,49,1.04,127,122
22,0.0,0.0,1.0,0.0,209,1.02,64,63
23,1.0,0.0,0.0,0.0,12,0.94,47,50
24,1.0,0.0,0.0,0.0,11,0.95,35,37
25,1.0,0.0,0.0,0.0,22,0.86,64,74
26,0.0,0.0,1.0,0.0,224,1.14,96,84
27,0.0,0.0,0.0,1.0,76,0.64,65,102
28,0.0,0.0,1.0,0.0,219,1.14,67,59
29,0.0,1.0,0.0,0.0,253,0.69,37,54
30,0.0,1.0,0.0,0.0,248,0.75,44,59
31,0.0,0.0,0.0,1.0,72,0.55,52,94
32,1.0,0.0,0.0,0.0,22,0.9,71,79
33,0.0,1.0,0.0,0.0,253,0.43,37,87
34,0.0,0.0,1.0,0.0,224,0.88,86,98
35,1.0,0.0,0.0,0.0,26,1.07,114,107
36,0.0,0.0,1.0,0.0,197,0.87,39,45
37,0.0,0.0,0.0,1.0,43,1.2,200,167
38,1.0,0.0,0.0,0.0,25,1.01,81,80
39,0.0,1.0,0.0,0.0,244,0.82,72,88
40,0.0,0.0,0.0,1.0,55,0.87,109,126
41,0.0,0.0,0.0,1.0,78,0.59,75,127
42,0.0,0.0,1.0,0.0,204,0.97,58,60
43,0.0,0.0,1.0,0.0,202,1.05,59,56
44,0.0,0.0,0.0,1.0,70,0.5,59,119
45,0.0,1.0,0.0,0.0,261,0.33,26,79
46,0.0,0.0,1.0,0.0,203,1.0,43,43
47,1.0,0.0,0.0,0.0,34,1.01,84,83
48,1.0,0.0,0.0,0.0,23,1.06,103,97
49,1.0,0.0,0.0,0.0,25,0.86,83,97
50,0.0,0.0,1.0,0.0,203,1.02,59,58
51,0.0,0.0,0.0,1.0,59,0.86,167,195
52,0.0,0.0,1.0,0.0,210,1.05,65,62
53,1.0,0.0,0.0,0.0,20,0.92,55,60
54,1.0,0.0,0.0,0.0,20,1.01,96,95
55,1.0,0.0,0.0,0.0,22,1.0,68,68
56,0.0,0.0,1.0,0.0,205,1.03,68,66
57,0.0,0.0,1.0,0.0,198,1.07,58,54
58,1.0,0.0,0.0,0.0,15,0.98,78,80
59,0.0,0.0,1.0,0.0,200,1.16,64,55
60,1.0,0.0,0.0,0.0,12,1.0,52,52
61,0.0,0.0,1.0,0.0,195,1.05,46,44
62,0.0,0.0,1.0,0.0,205,1.03,69,67
